Label,W2,W3,W4,W5,W6,W7
1,108.88,91.24,87.26,79.47,79.02,79.06
0,190.19,235.64,254.43,289.40,289.58,289.72
1,63.35,57.24,61.30,68.95,66.52,66.52
0,76.30,49.66,51.18,55.32,55.53,55.61
1,77.25,55.23,43.32,43.43,44.04,44.73
0,51.34,33.27,32.49,33.38,33.41,33.45
1,97.28,34.80,34.13,33.68,33.37,33.38
0,82.38,54.01,55.66,56.98,57.16,57.24
1,204.11,205.72,221.13,256.33,256.61,256.70
0,116.19,74.28,76.55,75.45,75.48,75.54
1,1009.92,1222.18,1174.71,1142.03,1142.53,1142.76
0,102.80,56.98,61.48,60.38,61.31,61.34
1,49.05,40.25,36.45,34.82,35.02,35.09
0,157.90,89.29,104.86,121.15,121.27,121.20
1,176.65,212.48,189.18,197.15,197.22,197.25
0,216.59,133.25,141.56,141.37,141.41,141.44
1,62.53,60.44,41.31,48.48,49.03,49.04
0,36.90,26.64,26.21,29.39,30.59,30.86
1,164.19,118.69,113.17,152.83,152.85,152.89
0,124.07,106.97,116.22,118.67,119.92,120.23
1,123.42,54.34,37.95,36.83,38.38,38.18
0,90.32,37.40,41.13,39.40,40.04,40.10
1,154.34,119.49,99.82,148.62,148.74,148.82
0,136.08,65.71,70.10,70.89,72.28,72.42
1,65.65,46.57,35.04,39.57,39.43,40.56
0,115.31,61.32,78.20,76.80,77.42,77.44
1,113.64,70.70,59.93,58.30,58.58,58.60
0,77.16,57.78,83.29,72.13,72.18,72.19
1,62.23,44.76,37.26,38.61,38.76,38.76
0,235.13,293.26,304.12,296.43,296.60,296.60
1,60.49,41.38,33.11,37.19,37.27,36.71
0,349.87,462.61,464.26,453.91,454.18,454.32
1,114.46,72.53,75.88,73.86,73.89,73.91
0,48.26,37.23,31.08,35.31,36.51,36.52
1,128.17,111.46,86.30,92.01,93.79,94.46
0,146.17,77.81,80.21,84.22,85.16,85.20
1,93.21,93.69,81.09,72.46,72.61,72.37
0,187.37,222.66,262.77,252.01,252.40,252.65
1,62.05,54.37,65.14,64.53,64.70,64.73
0,149.40,97.50,118.97,130.59,130.55,130.65
1,170.61,135.98,140.60,146.12,147.46,148.05
0,189.43,203.42,239.02,265.94,266.27,266.49
1,311.09,242.20,230.93,225.28,224.47,224.55
0,174.08,87.88,91.56,106.82,102.03,102.07
1,75.66,46.49,34.70,33.46,33.92,34.16
0,153.37,65.17,76.98,92.79,85.88,85.92
1,110.33,72.50,62.43,60.02,62.07,61.94
0,134.10,78.23,101.49,99.53,99.82,99.87
1,101.94,43.17,31.11,32.80,33.18,33.43
0,163.53,103.13,132.27,130.00,130.30,130.36
1,289.62,68.10,54.69,73.21,73.45,73.46
0,78.51,74.58,82.01,81.95,81.44,81.51
1,100.98,87.30,80.47,75.21,73.93,74.59
0,64.71,37.30,40.18,40.20,40.15,40.13
1,318.95,382.14,393.81,464.93,462.32,462.36
0,96.97,53.63,52.74,52.94,53.20,53.23
1,146.44,20.57,4.56,2.15,1.81,1.77
0,229.42,205.99,261.49,196.19,196.36,196.42
1,127.03,115.34,107.93,107.74,106.32,106.39
0,181.22,154.26,159.54,180.87,181.37,181.79
1,125.06,85.82,81.94,79.32,77.48,77.34
0,91.21,62.73,67.00,71.98,71.83,71.87
1,229.98,215.97,197.19,240.98,240.75,240.74
0,84.54,59.77,63.67,70.36,70.19,70.24
1,272.76,191.64,180.41,326.14,324.69,324.80
0,194.61,165.79,180.82,170.30,169.75,169.80
1,137.60,62.56,52.63,68.21,67.40,66.93
0,202.67,146.10,179.98,174.81,175.17,174.93
1,69.49,37.69,29.67,29.97,28.69,29.29
0,210.84,161.92,202.59,190.71,191.16,190.86
1,107.26,81.94,78.17,80.52,81.25,81.08
0,118.34,77.56,105.59,102.97,103.34,103.39
1,114.08,65.09,44.90,46.20,45.76,45.97
0,110.60,68.61,83.95,83.64,83.79,83.84
1,85.57,68.42,57.91,55.47,54.64,54.66
0,197.09,129.60,131.90,145.12,145.63,145.64
1,286.60,315.08,312.33,311.05,311.11,311.18
0,141.52,68.56,71.81,76.17,76.44,76.52
1,62.23,38.68,37.11,34.39,32.83,32.27
0,144.73,83.47,85.74,91.78,91.72,91.72
1,100.11,82.35,68.22,65.44,65.17,64.82
0,132.65,75.26,90.97,87.09,88.07,87.82
1,92.08,70.37,62.41,62.26,63.19,63.33
0,132.65,75.26,90.97,87.09,88.07,87.82
1,94.74,43.25,35.39,43.94,43.01,43.18
0,183.91,129.98,141.56,203.66,200.60,200.69
1,124.50,71.53,48.11,58.66,59.17,59.58
0,150.11,98.70,110.29,147.41,145.68,145.73
1,92.70,62.83,57.53,55.49,55.47,55.65
0,142.13,93.33,109.58,108.37,109.11,108.96
1,119.96,93.33,78.51,76.40,76.10,76.10
0,112.50,56.70,63.32,65.12,65.86,65.68
1,90.29,55.26,36.15,52.34,53.37,52.85
0,88.56,47.58,50.43,55.51,55.46,55.50
1,260.38,213.40,203.99,205.06,205.14,205.19
0,87.98,48.97,51.22,57.05,57.78,57.86
1,129.01,105.23,91.41,89.38,86.49,86.54
0,212.20,134.04,167.70,165.06,165.43,165.50
1,143.83,79.60,76.02,87.32,85.07,85.32
0,86.28,60.28,66.52,67.75,67.73,67.76
1,93.47,61.27,57.06,57.67,57.30,57.61
0,91.17,60.62,64.79,68.60,68.59,68.61
1,134.75,108.33,101.71,106.92,107.70,107.80
0,136.28,70.04,76.84,84.92,85.14,85.18
1,165.31,86.69,64.22,67.24,66.93,67.30
0,142.77,77.78,85.35,95.24,95.13,95.16
1,111.64,63.61,47.51,50.29,50.05,50.03
0,160.76,110.49,123.45,129.74,131.24,126.98
1,142.01,94.64,83.28,93.76,93.94,93.84
0,106.94,55.60,59.36,59.26,59.76,59.78
1,142.50,101.85,88.17,93.34,93.35,93.36
0,92.82,50.06,53.15,53.61,54.23,54.25
1,111.79,85.68,74.89,82.29,82.95,83.03
0,83.69,58.43,63.66,66.76,67.93,68.66
1,103.96,55.09,28.75,40.28,35.53,34.80
0,84.45,57.27,61.55,62.87,63.81,64.33
1,139.01,108.31,87.26,91.64,91.38,91.26
0,120.38,73.04,89.48,85.98,86.79,86.85
1,111.24,51.00,35.44,51.76,52.17,52.28
0,120.66,62.10,77.40,75.36,75.45,75.52
1,95.20,44.60,32.43,33.08,32.60,32.57
0,124.11,89.63,101.58,108.63,108.79,108.85
1,80.67,42.32,25.23,20.35,17.95,17.70
0,125.19,82.10,74.02,73.69,73.55,74.66
1,122.81,80.64,73.25,71.51,71.90,71.59
0,127.76,81.91,84.83,87.43,87.49,88.21
1,114.66,91.05,87.36,84.58,84.43,84.44
0,110.19,72.58,82.15,83.09,83.40,84.06
1,124.33,94.33,78.79,73.46,73.91,73.93
0,92.74,61.46,66.83,68.78,69.01,69.75
1,95.53,65.19,58.13,57.31,57.33,57.14
0,134.98,117.29,124.38,119.55,119.61,119.66
1,119.76,68.94,60.26,60.39,60.16,60.50
0,147.38,98.29,107.98,113.68,113.92,114.44
1,205.13,192.79,170.92,169.43,170.06,170.09
0,171.58,113.87,121.14,124.73,124.75,125.11
1,115.12,83.97,72.34,82.08,81.47,81.43
0,128.03,89.89,100.78,104.08,106.52,106.55
1,95.52,67.16,62.22,65.17,65.24,65.24
0,96.60,65.00,66.92,72.19,72.88,73.08
1,88.75,49.63,36.05,34.09,33.76,33.53
0,98.25,59.32,64.03,68.38,68.95,69.10
1,363.31,328.92,307.87,325.41,321.02,321.27
0,99.60,60.91,68.90,73.74,73.40,73.35
1,72.27,47.62,35.51,35.61,34.82,34.83
0,104.57,57.41,66.31,68.10,68.76,68.81
1,151.65,96.03,83.01,84.07,84.40,84.67
0,114.83,91.24,102.52,102.35,102.64,102.53
1,97.81,39.94,36.23,37.20,37.56,37.30
0,131.73,99.12,109.72,113.56,115.50,115.32
1,95.32,56.74,44.30,46.57,46.55,46.72
0,111.35,72.21,81.78,80.75,80.62,80.66
1,122.34,91.72,80.36,78.13,78.04,78.28
0,111.31,75.50,86.99,89.40,89.90,89.88
1,121.87,96.99,80.86,85.61,84.42,84.28
0,100.67,60.20,65.23,63.22,63.36,62.69
1,183.18,39.29,15.20,32.02,31.64,31.66
0,139.96,97.06,107.84,113.40,115.73,115.76
1,131.64,82.89,59.37,63.29,59.87,59.53
0,97.25,70.76,80.85,84.50,86.43,86.43
1,63.46,46.46,42.05,39.95,39.22,39.05
0,124.85,87.22,100.77,102.32,103.81,103.83
1,173.70,144.38,135.84,147.59,147.40,147.41
0,79.25,51.20,56.03,58.37,59.90,60.20
1,132.27,114.29,106.64,108.91,109.74,109.41
0,102.71,54.66,60.71,66.55,67.79,67.80
1,166.15,95.03,75.80,88.58,88.79,88.61
0,120.62,86.43,95.67,98.22,99.10,99.33
1,153.15,83.69,71.21,74.08,71.01,70.96
0,117.09,79.38,86.94,88.65,89.06,89.45
1,100.42,53.95,47.20,47.53,47.02,47.22
0,134.25,91.04,104.22,107.75,108.88,108.73
1,184.97,163.05,144.38,159.81,159.92,159.98
0,118.16,81.49,89.30,91.87,92.73,92.70
1,184.90,90.99,64.40,61.14,59.63,59.05
0,97.76,54.44,60.92,63.72,64.82,65.10
1,125.09,89.56,84.78,88.83,89.01,88.97
0,138.09,85.84,100.75,107.45,107.85,107.87
1,96.78,69.92,59.93,61.22,59.12,59.12
0,130.30,75.32,87.79,95.42,95.81,95.86
1,106.59,63.40,52.43,51.48,49.67,49.37
0,134.31,76.96,86.47,93.54,93.81,93.78
1,154.39,122.13,115.39,121.54,119.25,118.03
0,117.60,65.13,77.54,81.45,81.25,81.29
1,193.31,150.24,143.23,152.58,152.61,152.95
0,109.96,71.46,80.43,83.71,84.21,84.22
1,133.47,84.77,70.20,68.56,67.52,67.70
0,121.36,79.10,92.70,99.58,100.08,100.00
1,104.27,59.14,46.96,47.83,47.72,47.83
0,131.16,89.48,96.50,102.32,103.30,104.23
1,119.48,64.56,52.89,54.32,54.43,54.50
0,104.72,70.50,80.54,86.98,87.44,87.54
1,191.27,152.36,135.25,151.23,151.12,151.42
0,103.17,63.51,72.51,76.79,77.84,77.90
1,117.67,65.52,52.77,60.15,58.28,57.64
0,113.90,84.90,93.18,96.69,97.27,97.24
1,144.36,78.26,66.10,71.57,71.21,71.32
0,99.85,69.26,79.08,83.74,83.88,83.94
1,130.88,60.05,46.24,49.30,48.70,48.38
0,128.59,82.11,93.23,95.31,95.28,95.33
1,60.79,52.77,48.80,46.89,47.11,47.15
0,50.48,39.02,39.30,39.94,39.74,40.03
1,204.79,58.43,8.46,228.85,228.96,229.02
0,243.72,192.98,243.73,323.74,322.87,322.70
1,38.68,26.33,16.78,16.39,16.72,16.67
0,640.74,159.08,136.16,139.47,139.49,139.53
1,251.09,273.19,306.56,286.77,286.91,287.04
0,200.19,184.69,229.14,297.15,296.45,296.33
1,119.19,117.49,118.25,101.37,101.47,101.51
0,158.87,66.51,63.44,61.73,61.57,61.66
1,38.09,28.76,18.82,21.69,23.28,23.29
0,39.59,27.86,33.84,37.53,37.31,37.32
1,427.30,155.66,145.39,255.55,255.72,255.90
0,189.12,165.57,170.07,179.15,179.32,179.42
1,154.72,124.01,98.29,104.31,104.43,104.46
0,573.31,647.48,639.85,726.55,726.92,727.18
1,73.87,54.80,43.63,51.36,51.39,51.40
0,13.13,7.83,14.28,27.39,27.40,27.38
1,128.98,105.35,108.89,140.74,140.79,140.86
0,136.80,69.10,80.50,112.15,112.04,112.02
1,67.14,57.80,57.26,56.89,56.47,56.49
0,88.48,41.85,40.46,46.12,46.05,46.05
1,60.16,35.97,29.60,28.99,28.21,28.90
0,123.62,68.57,95.84,111.75,111.50,111.53
1,147.09,74.46,69.51,90.10,90.12,90.15
0,126.78,58.64,68.15,68.70,68.70,68.47
1,444.37,362.84,404.63,371.79,372.02,372.16
0,76.47,42.09,40.97,37.90,37.92,37.92
1,64.89,28.76,13.88,10.14,9.85,9.82
0,124.88,31.16,34.09,38.79,39.81,39.97
1,169.06,63.07,58.30,60.48,60.35,59.86
0,72.68,49.99,61.51,51.84,52.52,53.54
1,106.48,73.27,75.00,84.87,84.91,84.96
0,52.64,32.50,44.25,38.09,36.55,36.93
1,175.67,51.40,39.80,39.49,39.58,39.59
0,119.67,69.54,89.58,84.18,84.94,84.99
1,119.36,69.68,55.89,74.71,75.58,74.96
0,320.40,172.54,199.45,193.11,193.31,193.39
1,178.62,114.72,87.17,89.18,89.24,89.26
0,74.92,71.91,113.89,96.98,97.17,97.22
1,158.39,95.94,75.60,92.17,93.79,93.78
0,81.63,70.64,112.91,92.49,92.67,92.71
1,158.89,63.01,45.10,73.80,73.53,73.56
0,60.58,35.34,38.53,38.11,37.69,37.58
1,252.16,193.98,162.37,192.96,191.60,192.30
0,67.33,40.20,40.35,41.39,40.07,40.08
1,105.82,60.21,53.39,46.73,46.27,46.35
0,96.77,53.24,58.16,64.55,66.02,65.34
1,100.22,63.71,65.21,71.03,70.97,71.14
0,83.07,42.55,50.96,55.92,56.81,56.36
1,57.67,39.00,35.29,33.82,34.13,34.14
0,198.26,101.34,105.64,95.70,95.74,95.76
1,107.72,87.80,71.27,79.08,80.31,80.35
0,118.31,86.85,102.71,95.03,95.08,95.10
1,169.91,127.66,103.75,126.44,126.88,126.91
0,126.89,85.23,79.44,97.54,97.57,97.28
1,124.53,103.57,95.92,95.14,95.17,95.19
0,48.17,28.63,25.13,25.27,25.26,25.13
1,138.61,93.27,92.05,84.86,84.88,84.90
0,133.94,82.58,90.19,89.44,89.59,89.61
1,136.17,92.19,90.68,103.61,103.47,104.76
0,137.13,87.53,95.83,95.43,95.61,95.63
1,283.61,127.15,102.29,112.03,112.17,111.56
0,44.39,41.43,50.93,51.10,51.07,51.15
1,70.74,27.92,15.64,12.37,10.77,10.87
0,195.69,181.13,183.44,186.59,186.71,186.77
1,218.86,156.18,147.36,170.55,171.09,171.14
0,135.96,105.40,102.52,114.25,112.03,112.07
1,125.87,91.33,70.05,72.46,72.98,70.62
0,99.43,73.00,74.88,76.76,77.18,77.12
1,101.44,76.31,57.15,55.79,56.31,56.30
0,65.33,40.71,43.60,47.07,47.54,47.46
1,201.41,82.68,65.81,78.00,76.85,76.60
0,189.94,114.38,141.29,143.73,143.72,143.79
1,194.33,166.89,152.32,161.47,162.40,161.23
0,176.84,103.86,129.28,134.77,134.85,134.94
1,185.94,174.94,155.15,160.05,160.72,160.77
0,210.68,137.28,161.18,165.19,163.92,164.94
1,112.01,82.46,82.93,79.11,80.60,80.84
0,261.03,200.38,221.81,232.06,231.68,231.81
1,116.03,51.87,38.34,37.13,35.35,35.24
0,168.51,77.84,81.59,96.86,97.45,97.76
1,287.13,205.64,185.55,200.16,197.44,197.93
0,168.51,77.84,81.59,96.86,97.45,97.76
1,146.27,93.40,84.22,96.38,95.39,95.38
0,136.10,58.70,66.07,67.73,67.79,67.81
1,89.73,69.38,55.78,62.91,63.16,63.19
0,126.95,51.82,61.67,63.25,63.09,63.10
1,101.39,58.53,46.94,62.31,62.22,62.20
0,158.26,94.12,106.11,118.28,118.42,118.46
1,149.33,118.99,87.13,89.74,90.70,91.34
0,140.73,90.01,101.18,99.04,99.10,99.14
1,188.40,196.38,149.35,146.90,146.93,146.97
0,156.62,106.58,120.61,138.42,139.00,139.10
1,88.53,57.18,50.78,63.63,63.61,63.68
0,76.82,55.60,61.81,71.82,71.33,71.23
1,76.47,29.64,18.36,18.14,16.34,15.02
0,125.15,103.65,102.17,117.17,117.11,117.15
1,68.76,58.92,60.92,63.83,64.28,64.01
0,130.05,81.70,99.25,98.62,98.38,90.84
1,105.11,49.79,42.94,46.89,46.83,47.00
0,105.98,72.66,90.35,90.71,90.79,91.44
1,95.60,56.91,45.93,51.06,51.03,51.01
0,181.81,176.36,196.39,217.55,223.89,223.96
1,184.39,137.00,124.94,141.90,141.59,141.91
0,159.52,146.41,160.83,171.59,175.36,175.42
1,311.23,433.87,413.46,396.63,388.03,388.15
0,39.95,35.29,34.23,32.59,33.10,33.07
1,246.28,141.79,116.93,121.79,119.67,120.63
0,89.62,58.67,63.12,60.96,61.32,61.31
1,197.56,171.63,152.17,155.53,156.67,156.56
0,60.34,45.08,49.56,49.11,49.99,50.05
1,113.88,89.97,84.28,97.57,97.96,97.40
0,102.01,71.02,75.13,79.59,78.87,79.36
1,124.22,79.42,70.82,77.86,78.40,78.23
0,80.75,48.29,51.03,55.57,54.92,55.33
1,104.32,72.36,60.15,62.87,62.74,62.78
