Label,W2,W3,W4,W5,W6,W7
0,137.64,91.10,103.64,107.03,107.73,107.85
1,124.55,84.30,79.65,78.51,78.62,78.76
0,141.42,98.08,106.32,110.75,111.23,111.62
1,132.95,85.13,76.03,76.03,75.93,75.48
0,199.74,146.57,161.50,159.55,159.65,159.71
0,164.06,115.26,127.94,131.36,132.40,132.41
1,274.70,213.63,205.37,212.68,212.12,212.34
1,176.95,127.94,119.64,121.96,122.02,122.27
1,179.74,122.83,112.84,114.38,114.24,114.30
0,136.65,99.50,122.65,124.80,125.96,125.83
0,147.27,91.14,99.72,105.11,105.96,105.74
1,214.32,158.51,148.70,158.86,160.58,160.61
0,121.25,76.62,84.24,90.08,89.52,89.98
1,204.38,137.42,128.45,131.19,131.67,131.83
1,188.83,129.87,118.62,121.41,120.26,120.58
0,162.09,112.62,126.50,135.57,135.53,135.66
0,211.17,144.34,169.29,169.77,170.16,170.18
0,160.93,107.59,120.99,127.91,128.68,128.91
0,120.40,81.13,92.65,97.53,98.28,98.66
1,207.53,137.17,122.16,127.67,127.63,127.67
0,151.65,91.70,98.58,103.05,103.75,103.91
1,204.93,168.86,154.95,154.06,153.61,153.52
1,211.94,162.48,148.85,149.35,149.56,149.65
1,226.30,152.52,144.48,151.84,150.50,150.80
0,141.89,87.52,93.96,98.22,99.50,99.83
1,224.72,184.56,177.89,181.49,181.57,181.93
1,225.39,171.38,166.82,168.86,168.83,169.23
1,187.49,166.45,153.24,155.13,155.60,155.53
0,153.47,102.50,113.91,118.57,118.94,119.14
0,193.48,144.01,162.38,171.47,171.62,171.63
0,152.93,96.96,112.17,116.37,117.29,117.38
0,173.12,122.76,134.76,137.55,138.00,138.27
1,193.53,134.55,125.97,128.09,128.49,128.19
1,210.95,166.95,158.70,158.54,158.25,158.01
0,146.64,109.14,119.50,124.69,124.69,124.78
1,190.37,139.36,129.61,141.25,141.19,141.12
1,159.00,116.10,109.60,109.74,109.92,109.91
1,150.50,104.66,100.14,100.88,101.13,101.76
1,238.12,161.62,143.23,145.29,145.24,145.37
1,142.57,104.00,96.26,97.90,98.26,98.43
1,104.49,62.07,49.96,51.43,50.51,50.15
0,135.21,88.64,99.37,103.96,104.67,104.80
0,148.97,106.42,116.96,120.37,120.75,120.79
1,140.88,97.23,86.82,90.27,89.91,90.23
1,168.60,126.34,120.68,124.25,125.32,125.59
0,196.96,133.34,147.77,156.39,156.18,156.31
1,238.73,191.15,178.72,185.24,185.38,185.45
0,150.17,103.22,111.90,115.62,116.05,116.24
1,258.23,213.55,206.39,212.02,211.53,211.61
0,125.47,85.78,100.24,103.17,103.55,103.90
1,157.34,106.46,99.85,99.56,99.59,99.69
1,216.84,164.21,151.62,157.16,157.23,157.29
0,123.71,88.60,102.27,104.46,105.63,106.86
1,169.59,117.35,113.64,116.21,117.52,117.03
1,182.14,131.79,120.72,123.89,123.49,123.23
0,101.19,69.64,80.97,83.51,84.28,84.31
1,148.21,109.10,103.46,105.51,105.62,105.49
1,123.11,82.48,77.88,84.26,84.31,84.30
0,139.19,93.26,99.77,107.34,108.43,109.02
0,121.07,77.23,85.91,98.61,98.82,98.50
1,169.32,103.75,94.10,94.44,95.58,96.07
0,174.33,116.78,130.63,134.20,134.30,133.03
1,219.79,147.28,130.64,128.80,128.21,128.19
1,195.93,136.31,129.00,129.64,129.33,129.47
1,161.41,109.91,98.71,101.10,100.11,100.05
0,135.06,84.03,95.40,97.53,98.11,98.53
1,124.95,87.83,80.72,82.35,82.02,81.89
1,263.36,183.73,163.91,170.85,170.49,170.27
1,146.27,120.06,116.44,117.47,117.92,117.67
1,289.41,219.08,201.90,214.54,215.57,215.52
1,134.89,98.09,91.10,95.47,94.74,94.99
0,151.41,106.29,113.86,116.98,117.16,117.35
0,160.98,110.03,122.70,126.63,127.15,127.48
1,153.06,110.02,104.68,102.73,102.16,102.23
0,183.46,134.61,150.75,153.36,153.95,154.01
1,170.50,108.94,93.38,99.25,97.61,97.30
0,124.42,84.06,95.07,96.14,96.89,96.97
0,136.05,96.37,111.91,117.20,117.97,117.94
0,143.10,98.76,109.46,114.32,115.17,115.40
0,193.35,130.12,145.32,154.58,155.42,155.54
1,160.22,130.89,119.51,127.63,126.74,126.85
0,145.48,100.18,112.87,115.77,116.31,116.25
1,161.07,109.37,99.92,103.89,103.73,103.42
0,136.47,86.70,106.11,105.86,106.10,106.39
0,185.51,134.83,147.85,157.96,158.52,158.99
0,155.81,106.12,117.22,122.54,122.88,122.36
1,161.52,124.14,113.57,110.63,110.96,111.17
1,244.12,190.03,175.98,190.17,191.27,191.29
1,128.73,87.70,80.74,80.16,80.29,80.26
1,204.39,136.29,130.20,134.30,133.64,133.56
1,180.54,122.44,110.54,112.31,112.29,112.64
0,163.19,114.90,128.76,132.04,133.24,135.52
0,141.83,100.93,112.80,114.45,115.20,115.25
0,174.86,123.60,130.71,133.57,134.09,134.46
0,126.44,87.12,99.92,100.85,100.90,101.45
0,151.34,99.37,111.70,114.28,115.70,115.75
0,152.43,98.01,109.44,118.20,119.02,119.20
1,137.37,84.42,75.75,77.28,76.54,76.57
0,161.79,103.13,115.20,118.36,118.47,118.49
1,188.19,162.44,153.91,154.60,155.52,156.13
0,142.53,100.09,109.44,114.91,115.50,116.21
1,184.44,129.00,120.25,124.07,124.50,124.70
1,232.11,148.16,139.99,150.08,150.20,150.14
1,193.01,161.60,151.80,161.89,162.00,162.15
1,132.84,90.33,83.66,84.41,84.36,84.33
1,196.76,121.45,114.39,117.91,118.12,117.71
1,259.86,205.72,197.54,200.92,201.52,202.06
1,272.58,188.34,178.08,182.74,182.80,182.98
1,138.62,101.91,90.00,88.98,88.90,88.72
0,147.71,97.75,106.30,109.02,109.16,109.29
1,190.27,127.72,115.77,119.81,120.13,120.20
1,152.52,112.11,104.88,101.17,101.67,102.29
0,184.85,139.93,153.39,150.60,151.40,151.30
1,115.63,79.64,72.71,73.13,73.02,72.98
0,153.24,108.11,119.41,125.47,126.34,126.54
0,145.42,103.93,117.13,120.77,120.71,120.83
1,132.46,91.20,82.91,81.88,82.13,82.31
0,174.33,130.58,139.95,144.20,144.98,145.20
0,130.29,84.76,95.18,97.77,97.35,97.59
0,150.84,109.30,126.32,129.09,129.57,129.63
0,147.68,100.74,108.52,111.82,112.99,113.10
0,148.00,99.58,110.89,116.15,116.74,116.90
0,96.40,59.96,63.60,66.96,67.76,67.78
1,189.45,144.76,132.92,134.72,136.00,135.55
0,120.44,78.77,89.08,92.61,93.03,93.10
0,166.48,112.85,124.72,131.76,131.84,131.90
0,141.65,78.21,87.33,90.85,91.58,91.68
0,152.36,110.02,121.41,125.30,125.63,125.75
1,268.22,203.22,207.87,218.01,218.47,217.93
1,198.11,135.48,128.64,130.65,130.73,130.87
0,136.44,89.27,99.01,101.76,102.51,102.75
0,153.78,107.57,120.82,124.97,125.44,125.50
0,135.08,96.51,109.95,109.89,110.55,110.67
0,92.24,58.67,69.13,70.57,71.27,71.27
0,146.96,101.91,114.64,118.80,118.83,118.92
1,251.38,188.76,184.41,191.25,192.35,192.27
0,137.71,91.61,100.97,105.98,106.64,106.77
0,130.21,83.81,93.79,96.72,97.10,97.17
0,125.67,79.82,90.32,92.71,92.92,92.69
0,124.73,78.03,86.33,99.24,99.47,99.17
1,238.62,177.34,172.93,185.10,184.94,184.37
0,177.10,131.32,151.67,159.87,160.74,161.05
0,167.44,115.37,130.06,133.79,134.49,134.95
1,156.44,110.42,99.89,108.71,109.34,109.26
1,249.08,191.25,175.60,185.97,186.01,185.88
0,161.58,110.87,125.67,130.32,130.56,130.65
0,135.47,87.15,95.07,95.28,95.59,95.58
0,183.31,129.11,144.33,148.21,148.28,148.43
0,176.41,126.04,137.52,140.51,140.57,140.62
1,179.34,121.79,117.45,121.38,121.45,121.63
0,145.92,85.37,96.74,103.18,103.28,103.27
0,140.90,91.40,101.33,101.10,101.07,101.10
0,145.54,93.34,104.91,107.06,108.05,108.31
0,147.52,92.90,100.56,99.89,100.41,100.68
0,134.71,96.99,106.51,112.09,112.59,112.69
0,155.41,110.67,124.23,124.73,125.53,125.69
1,93.45,53.24,42.50,41.09,40.69,40.73
1,245.98,192.01,185.57,193.02,193.52,193.52
1,200.47,129.52,122.91,125.77,126.39,126.55
1,93.40,59.65,48.14,46.48,45.58,45.70
1,202.57,142.30,131.48,133.77,134.34,134.61
1,257.26,197.70,187.38,193.37,194.28,193.53
0,158.63,111.22,121.91,125.63,126.71,126.81
0,154.10,100.98,113.06,122.77,123.39,123.47
1,138.28,97.49,90.90,92.17,91.89,91.98
1,251.12,199.70,196.71,202.36,202.71,202.88
0,141.23,97.54,110.43,115.75,116.77,116.45
0,161.98,106.71,116.96,118.16,118.84,118.63
0,125.74,85.96,95.27,99.85,100.48,100.52
0,136.71,98.09,117.15,119.50,119.78,119.87
1,253.28,177.89,166.34,175.92,176.53,176.62
1,356.64,244.62,227.61,228.11,227.01,226.75
0,152.07,100.45,114.34,116.29,117.55,117.82
1,243.10,173.52,161.44,167.47,167.73,167.85
0,144.07,100.13,112.23,116.21,117.24,117.35
0,145.41,97.05,107.92,108.90,109.71,109.48
0,188.28,138.32,151.05,153.62,154.30,154.41
1,198.26,157.23,150.55,144.34,144.73,144.77
0,156.20,87.67,103.74,107.23,107.05,107.09
1,182.66,143.34,132.06,136.01,136.43,135.77
0,142.67,100.26,111.78,115.50,116.47,116.56
1,120.63,81.71,73.71,75.22,75.54,75.56
1,129.43,87.28,74.22,75.17,73.46,72.78
0,136.80,97.42,108.15,112.60,112.60,112.59
0,158.34,106.64,119.21,124.21,124.79,124.90
0,134.06,96.63,108.70,111.12,111.39,111.33
1,161.38,93.13,86.86,89.20,88.77,88.77
0,156.80,106.85,119.95,124.19,124.76,124.88
1,165.33,134.07,129.06,131.94,132.19,132.16
1,198.06,154.74,153.45,156.31,156.70,156.77
1,203.54,151.70,140.68,144.43,146.29,146.69
0,152.45,102.03,113.93,117.38,117.58,117.64
1,185.06,130.17,121.24,126.90,127.26,127.59
1,134.85,88.15,92.04,82.92,82.55,82.00
0,141.77,94.48,108.04,110.26,110.43,110.32
0,147.15,99.37,114.11,116.17,116.73,116.87
1,148.52,103.81,100.41,102.24,102.56,102.45
0,122.15,91.01,106.90,109.35,110.09,110.06
1,194.56,129.54,113.86,111.07,109.95,108.79
1,135.77,90.84,82.53,83.63,83.49,83.46
0,151.73,98.66,114.74,120.50,122.34,122.61
0,216.34,142.33,156.91,168.05,168.87,169.91
1,160.91,118.74,109.24,109.91,110.01,109.91
1,119.85,83.50,76.76,77.89,77.51,77.45
1,122.94,88.39,82.74,83.17,83.25,83.31
0,146.89,94.89,105.29,107.46,107.74,107.84
1,212.36,154.39,141.83,145.53,144.80,144.93
0,173.70,116.34,133.24,135.77,137.39,137.53
1,186.48,123.37,110.53,112.97,112.46,113.08
1,99.70,47.98,38.99,38.21,37.86,38.16
1,184.42,141.78,135.17,137.05,136.62,136.24
1,193.66,141.82,128.10,131.07,131.33,131.30
0,127.50,85.72,94.34,102.96,103.38,103.73
0,141.47,102.69,113.87,113.59,113.93,113.95
1,226.60,173.01,161.46,162.11,162.66,163.31
1,329.35,278.32,277.60,276.73,279.32,279.00
1,239.88,187.84,184.51,187.43,187.70,187.64
0,139.78,88.15,108.22,113.74,113.44,113.57
1,121.70,84.13,76.22,78.55,79.04,79.03
1,225.96,130.90,125.26,133.83,133.36,133.54
1,102.95,70.78,64.64,65.42,65.48,65.45
