Label,W3,W4
1,303.92,320.74
0,62.08,72.93
1,29.68,26.19
0,110.89,125.81
1,176.19,182.75
0,243.58,242.46
1,481.16,501.37
0,135.40,148.22
1,310.99,294.49
0,45.81,84.07
1,31.73,26.90
0,59.82,63.21
1,38.25,34.75
0,51.33,55.44
1,105.35,79.38
0,91.91,84.48
1,107.58,99.69
0,52.71,54.57
1,70.08,61.55
0,62.87,65.61
1,149.20,108.82
0,106.37,145.49
1,175.07,182.69
0,171.56,171.43
1,122.53,101.09
0,87.29,100.02
1,37.95,28.14
0,58.58,66.81
1,70.14,80.61
0,71.15,65.73
1,38.75,25.17
0,317.10,333.03
1,81.22,78.92
0,68.43,65.52
1,60.78,62.10
0,156.35,167.44
1,142.93,95.09
0,462.79,361.19
1,17.81,11.52
0,50.57,76.03
1,60.05,41.59
0,70.04,72.00
1,68.40,51.21
0,243.94,270.69
1,69.62,62.85
0,196.49,260.81
1,202.64,192.50
0,129.94,146.88
1,137.63,147.78
0,147.47,164.91
1,81.95,69.96
0,183.13,172.93
1,70.18,50.43
0,115.64,116.89
1,76.40,67.66
0,191.45,202.46
1,83.25,70.55
0,130.44,152.36
1,230.77,215.63
0,92.20,104.72
1,93.58,61.75
0,76.05,84.46
1,196.33,188.23
0,83.14,84.93
1,7.20,4.19
0,60.67,86.55
1,170.05,174.90
0,133.28,132.67
1,97.80,97.55
0,77.18,79.09
1,214.66,204.77
0,154.02,209.12
1,50.61,36.56
0,39.62,43.29
1,170.20,147.50
0,27.34,35.14
1,50.87,42.17
0,96.37,106.85
1,48.72,35.79
0,61.23,64.78
1,143.65,142.02
0,325.23,335.80
1,68.59,63.54
0,91.91,102.85
1,208.69,205.65
0,92.95,89.82
1,73.86,57.02
0,91.68,97.19
1,111.37,103.71
0,149.38,168.99
1,109.71,92.64
0,119.67,124.26
1,158.22,150.16
0,141.30,145.80
1,17.23,12.12
0,119.97,137.04
1,166.92,139.60
0,45.61,49.30
1,210.82,197.29
0,118.42,119.69
1,70.19,51.77
0,95.23,98.45
1,63.96,56.60
0,92.56,98.01
1,158.55,157.19
0,72.69,88.59
1,57.88,54.75
0,50.40,50.66
1,50.67,38.39
0,120.35,132.99
1,118.55,110.27
0,75.42,94.71
1,88.45,69.19
0,161.39,162.81
1,167.29,150.25
0,56.94,65.92
1,157.80,145.34
0,52.30,55.57
1,101.94,98.60
0,131.17,128.11
1,115.46,102.56
0,206.50,240.59
1,56.53,49.73
0,50.93,53.41
1,84.02,72.21
0,73.60,82.35
1,140.99,119.58
0,100.40,119.80
1,78.56,63.37
0,95.90,103.93
1,68.48,59.79
0,74.27,90.38
1,93.64,85.90
0,109.96,110.84
1,70.09,53.95
0,98.59,107.08
1,170.54,143.62
0,92.08,102.49
1,78.85,69.59
0,154.53,180.62
1,246.15,241.79
0,102.62,109.36
1,83.79,69.60
0,83.15,87.96
1,185.09,170.18
0,110.67,123.57
1,79.11,69.82
0,134.07,148.27
1,33.68,13.83
0,75.85,87.75
1,64.87,55.94
0,107.43,121.40
1,88.20,79.03
0,159.30,178.85
1,164.28,148.00
0,126.25,145.30
1,66.95,51.18
0,91.89,100.16
1,127.94,120.15
0,121.21,142.19
1,77.61,66.96
0,111.66,124.38
1,88.89,77.04
0,88.24,94.93
1,72.97,66.63
0,116.53,130.08
1,203.16,190.10
0,72.65,84.52
1,58.32,52.16
0,119.79,132.52
1,68.00,60.06
0,87.04,91.47
1,84.86,70.91
0,117.37,129.71
1,54.80,39.02
0,98.54,109.04
1,76.47,65.41
0,127.10,145.32
1,120.63,116.41
0,93.36,102.07
1,96.08,83.17
0,103.35,118.35
1,56.96,43.87
0,94.58,106.27
1,76.89,73.20
0,93.47,104.51
1,50.46,47.45
0,108.79,123.57
1,78.60,67.84
0,139.17,150.08
1,48.08,42.01
0,112.08,121.07
1,52.26,44.95
0,125.81,139.96
1,138.01,130.22
0,118.63,128.81
1,170.92,162.95
0,122.30,135.95
1,80.05,64.44
0,101.26,111.00
