Label,W3,W4
1,91.24,87.26
0,235.64,254.43
1,57.24,61.30
0,49.66,51.18
1,55.23,43.32
0,33.27,32.49
1,34.80,34.13
0,54.01,55.66
1,205.72,221.13
0,74.28,76.55
1,1222.18,1174.71
0,56.98,61.48
1,40.25,36.45
0,89.29,104.86
1,212.48,189.18
0,133.25,141.56
1,60.44,41.31
0,26.64,26.21
1,118.69,113.17
0,106.97,116.22
1,54.34,37.95
0,37.40,41.13
1,119.49,99.82
0,65.71,70.10
1,46.57,35.04
0,61.32,78.20
1,70.70,59.93
0,57.78,83.29
1,44.76,37.26
0,293.26,304.12
1,41.38,33.11
0,462.61,464.26
1,72.53,75.88
0,37.23,31.08
1,111.46,86.30
0,77.81,80.21
1,93.69,81.09
0,222.66,262.77
1,54.37,65.14
0,97.50,118.97
1,135.98,140.60
0,203.42,239.02
1,242.20,230.93
0,87.88,91.56
1,46.49,34.70
0,65.17,76.98
1,72.50,62.43
0,78.23,101.49
1,43.17,31.11
0,103.13,132.27
1,68.10,54.69
0,74.58,82.01
1,87.30,80.47
0,37.30,40.18
1,382.14,393.81
0,53.63,52.74
1,20.57,4.56
0,205.99,261.49
1,115.34,107.93
0,154.26,159.54
1,85.82,81.94
0,62.73,67.00
1,215.97,197.19
0,59.77,63.67
1,191.64,180.41
0,165.79,180.82
1,62.56,52.63
0,146.10,179.98
1,37.69,29.67
0,161.92,202.59
1,81.94,78.17
0,77.56,105.59
1,65.09,44.90
0,68.61,83.95
1,68.42,57.91
0,129.60,131.90
1,315.08,312.33
0,68.56,71.81
1,38.68,37.11
0,83.47,85.74
1,82.35,68.22
0,75.26,90.97
1,70.37,62.41
0,75.26,90.97
1,43.25,35.39
0,129.98,141.56
1,71.53,48.11
0,98.70,110.29
1,62.83,57.53
0,93.33,109.58
1,93.33,78.51
0,56.70,63.32
1,55.26,36.15
0,47.58,50.43
1,213.40,203.99
0,48.97,51.22
1,105.23,91.41
0,134.04,167.70
1,79.60,76.02
0,60.28,66.52
1,61.27,57.06
0,60.62,64.79
1,108.33,101.71
0,70.04,76.84
1,86.69,64.22
0,77.78,85.35
1,63.61,47.51
0,110.49,123.45
1,94.64,83.28
0,55.60,59.36
1,101.85,88.17
0,50.06,53.15
1,85.68,74.89
0,58.43,63.66
1,55.09,28.75
0,57.27,61.55
1,108.31,87.26
0,73.04,89.48
1,51.00,35.44
0,62.10,77.40
1,44.60,32.43
0,89.63,101.58
1,42.32,25.23
0,82.10,74.02
1,80.64,73.25
0,81.91,84.83
1,91.05,87.36
0,72.58,82.15
1,94.33,78.79
0,61.46,66.83
1,65.19,58.13
0,117.29,124.38
1,68.94,60.26
0,98.29,107.98
1,192.79,170.92
0,113.87,121.14
1,83.97,72.34
0,89.89,100.78
1,67.16,62.22
0,65.00,66.92
1,49.63,36.05
0,59.32,64.03
1,328.92,307.87
0,60.91,68.90
1,47.62,35.51
0,57.41,66.31
1,96.03,83.01
0,91.24,102.52
1,39.94,36.23
0,99.12,109.72
1,56.74,44.30
0,72.21,81.78
1,91.72,80.36
0,75.50,86.99
1,96.99,80.86
0,60.20,65.23
1,39.29,15.20
0,97.06,107.84
1,82.89,59.37
0,70.76,80.85
1,46.46,42.05
0,87.22,100.77
1,144.38,135.84
0,51.20,56.03
1,114.29,106.64
0,54.66,60.71
1,95.03,75.80
0,86.43,95.67
1,83.69,71.21
0,79.38,86.94
1,53.95,47.20
0,91.04,104.22
1,163.05,144.38
0,81.49,89.30
1,90.99,64.40
0,54.44,60.92
1,89.56,84.78
0,85.84,100.75
1,69.92,59.93
0,75.32,87.79
1,63.40,52.43
0,76.96,86.47
1,122.13,115.39
0,65.13,77.54
1,150.24,143.23
0,71.46,80.43
1,84.77,70.20
0,79.10,92.70
1,59.14,46.96
0,89.48,96.50
1,64.56,52.89
0,70.50,80.54
1,152.36,135.25
0,63.51,72.51
1,65.52,52.77
0,84.90,93.18
1,78.26,66.10
0,69.26,79.08
1,60.05,46.24
0,82.11,93.23
1,52.77,48.80
0,39.02,39.30
1,58.43,8.46
0,192.98,243.73
1,26.33,16.78
0,159.08,136.16
1,273.19,306.56
0,184.69,229.14
1,117.49,118.25
0,66.51,63.44
1,28.76,18.82
0,27.86,33.84
1,155.66,145.39
0,165.57,170.07
