Label,W3,W4
0,91.10,103.64
1,84.30,79.65
0,98.08,106.32
1,85.13,76.03
0,146.57,161.50
0,115.26,127.94
1,213.63,205.37
1,127.94,119.64
1,122.83,112.84
0,99.50,122.65
0,91.14,99.72
1,158.51,148.70
0,76.62,84.24
1,137.42,128.45
1,129.87,118.62
0,112.62,126.50
0,144.34,169.29
0,107.59,120.99
0,81.13,92.65
1,137.17,122.16
0,91.70,98.58
1,168.86,154.95
1,162.48,148.85
1,152.52,144.48
0,87.52,93.96
1,184.56,177.89
1,171.38,166.82
1,166.45,153.24
0,102.50,113.91
0,144.01,162.38
0,96.96,112.17
0,122.76,134.76
1,134.55,125.97
1,166.95,158.70
0,109.14,119.50
1,139.36,129.61
1,116.10,109.60
1,104.66,100.14
1,161.62,143.23
1,104.00,96.26
1,62.07,49.96
0,88.64,99.37
0,106.42,116.96
1,97.23,86.82
1,126.34,120.68
0,133.34,147.77
1,191.15,178.72
0,103.22,111.90
1,213.55,206.39
0,85.78,100.24
1,106.46,99.85
1,164.21,151.62
0,88.60,102.27
1,117.35,113.64
1,131.79,120.72
0,69.64,80.97
1,109.10,103.46
1,82.48,77.88
0,93.26,99.77
0,77.23,85.91
1,103.75,94.10
0,116.78,130.63
1,147.28,130.64
1,136.31,129.00
1,109.91,98.71
0,84.03,95.40
1,87.83,80.72
1,183.73,163.91
1,120.06,116.44
1,219.08,201.90
1,98.09,91.10
0,106.29,113.86
0,110.03,122.70
1,110.02,104.68
0,134.61,150.75
1,108.94,93.38
0,84.06,95.07
0,96.37,111.91
0,98.76,109.46
0,130.12,145.32
1,130.89,119.51
0,100.18,112.87
1,109.37,99.92
0,86.70,106.11
0,134.83,147.85
0,106.12,117.22
1,124.14,113.57
1,190.03,175.98
1,87.70,80.74
1,136.29,130.20
1,122.44,110.54
0,114.90,128.76
0,100.93,112.80
0,123.60,130.71
0,87.12,99.92
0,99.37,111.70
0,98.01,109.44
1,84.42,75.75
0,103.13,115.20
1,162.44,153.91
0,100.09,109.44
1,129.00,120.25
1,148.16,139.99
1,161.60,151.80
1,90.33,83.66
1,121.45,114.39
1,205.72,197.54
1,188.34,178.08
1,101.91,90.00
0,97.75,106.30
1,127.72,115.77
1,112.11,104.88
0,139.93,153.39
1,79.64,72.71
0,108.11,119.41
0,103.93,117.13
1,91.20,82.91
0,130.58,139.95
0,84.76,95.18
0,109.30,126.32
0,100.74,108.52
0,99.58,110.89
0,59.96,63.60
1,144.76,132.92
0,78.77,89.08
0,112.85,124.72
0,78.21,87.33
0,110.02,121.41
1,203.22,207.87
1,135.48,128.64
0,89.27,99.01
0,107.57,120.82
0,96.51,109.95
0,58.67,69.13
0,101.91,114.64
1,188.76,184.41
0,91.61,100.97
0,83.81,93.79
0,79.82,90.32
0,78.03,86.33
1,177.34,172.93
0,131.32,151.67
0,115.37,130.06
1,110.42,99.89
1,191.25,175.60
0,110.87,125.67
0,87.15,95.07
0,129.11,144.33
0,126.04,137.52
1,121.79,117.45
0,85.37,96.74
0,91.40,101.33
0,93.34,104.91
0,92.90,100.56
0,96.99,106.51
0,110.67,124.23
1,53.24,42.50
