Label,W3,W4
0,77.96,86.06
1,72.03,61.11
0,72.80,81.51
1,69.06,60.96
0,75.40,86.17
0,75.94,86.90
1,114.80,101.24
1,141.80,130.22
1,77.98,67.55
0,73.70,83.40
0,74.56,83.03
1,85.84,65.94
0,69.82,78.80
1,97.97,86.42
1,67.06,57.19
0,74.55,84.97
0,79.35,89.43
0,68.20,78.60
0,78.31,89.87
1,67.46,55.84
0,77.13,87.68
1,84.42,69.42
1,108.46,95.31
1,81.28,55.66
0,76.30,84.29
1,53.18,30.50
1,73.90,64.88
1,50.05,28.56
0,68.26,78.25
0,76.85,86.28
0,81.27,91.87
0,67.94,77.61
1,68.75,59.53
1,66.65,53.23
0,70.60,82.33
1,99.98,77.52
1,112.83,98.67
1,63.40,48.14
1,83.61,74.62
1,101.48,87.23
1,74.15,59.48
0,79.79,90.81
0,78.80,87.39
1,84.37,72.57
1,76.96,64.14
0,81.20,92.26
1,65.47,44.99
0,76.01,84.84
1,58.63,49.73
0,69.11,77.37
1,73.18,58.10
1,76.63,62.98
0,70.56,81.22
1,76.72,61.65
1,122.39,106.35
0,76.14,86.63
1,90.17,77.29
1,84.79,72.64
0,74.86,85.89
0,75.34,84.36
1,52.00,35.54
0,72.70,81.97
1,73.16,63.82
1,90.74,80.67
1,60.03,46.17
0,73.25,83.15
1,110.10,99.47
1,63.06,53.12
1,84.54,72.58
1,82.58,73.11
1,102.37,87.93
0,77.82,87.28
0,74.34,83.53
1,68.39,60.50
0,81.21,90.35
1,82.56,71.32
0,74.33,83.15
0,78.83,88.67
0,80.15,92.00
0,72.26,82.18
1,74.78,65.01
0,69.33,78.55
1,94.06,79.54
0,80.15,88.69
0,76.66,84.40
0,68.60,78.76
1,93.75,63.01
1,72.50,63.55
1,86.23,75.07
1,92.03,80.11
1,101.53,86.77
0,74.98,83.94
0,73.47,82.69
0,73.37,82.89
0,73.42,82.31
0,72.84,81.87
0,73.36,85.24
1,79.41,68.13
0,76.33,85.45
1,62.30,52.32
0,66.57,75.37
1,79.40,70.44
1,66.39,46.11
1,82.09,64.98
1,79.74,65.48
1,67.90,56.29
1,88.35,74.09
1,72.08,62.08
1,88.24,73.51
0,80.38,90.82
1,91.94,79.38
1,103.43,91.40
0,66.51,74.87
1,83.42,60.47
0,78.35,87.47
0,75.45,86.74
1,63.83,54.41
0,71.80,81.76
0,72.56,80.08
0,80.39,91.69
0,80.51,88.44
0,77.94,87.73
0,80.76,91.79
1,67.01,43.64
0,78.61,88.19
0,79.56,89.75
0,74.20,83.14
0,76.05,85.84
1,67.26,48.00
1,83.67,72.54
0,80.61,89.66
0,76.26,85.73
0,77.63,87.58
0,77.34,86.79
0,68.77,76.90
1,73.88,64.92
0,77.23,86.68
0,78.33,87.51
0,71.90,79.21
0,72.17,81.19
1,90.11,77.47
0,75.51,86.21
0,74.51,84.57
1,72.60,63.82
1,79.33,62.15
0,72.57,81.70
0,78.00,88.79
0,73.17,82.46
0,76.22,85.99
1,99.69,80.95
0,75.71,85.65
0,78.66,87.93
0,75.18,85.16
0,73.48,83.83
0,80.75,90.61
0,77.01,86.12
1,73.92,53.41
1,64.08,44.76
1,144.99,134.17
1,108.80,93.26
1,63.81,52.37
1,60.16,50.22
0,73.34,81.61
0,74.04,85.62
1,114.06,104.94
1,73.72,63.02
0,74.67,86.66
0,70.14,79.09
0,71.91,82.24
0,69.30,77.60
1,103.52,88.52
1,103.87,87.90
0,78.10,87.93
1,122.18,109.54
0,66.36,75.92
0,74.95,84.80
0,72.96,82.69
1,80.91,50.82
0,79.06,89.67
1,60.16,48.08
0,76.15,85.12
1,82.49,69.75
1,82.59,71.73
0,72.39,81.49
0,72.07,81.19
0,79.41,87.70
1,95.92,83.07
0,75.91,85.44
1,110.53,95.78
1,99.24,84.28
1,55.98,44.08
0,75.64,86.14
1,109.56,92.68
1,111.54,97.97
0,74.83,84.15
0,74.69,84.07
1,74.47,64.28
0,79.16,90.65
1,75.49,64.55
1,115.35,102.63
0,74.58,82.65
0,79.82,89.47
1,91.76,80.34
1,74.67,62.01
1,57.87,45.22
0,69.48,78.78
1,83.52,77.33
0,85.95,94.89
1,90.62,74.93
1,61.67,49.08
1,65.39,54.89
1,147.48,131.18
0,76.85,86.68
0,79.06,90.27
1,59.70,47.56
1,71.59,60.47
1,90.29,79.70
0,82.57,91.94
1,114.30,98.61
1,104.07,92.52
1,97.65,81.73
1,90.62,76.35
0,79.84,90.42
1,72.94,64.17
1,61.43,46.96
1,81.46,72.30
1,86.60,75.41
0,75.36,84.95
0,79.42,90.69
1,89.85,63.02
0,73.50,83.21
1,79.88,65.79
1,90.35,78.79
0,70.64,79.15
0,71.57,81.02
0,81.09,91.85
1,102.30,89.37
1,91.53,80.57
1,73.53,59.61
0,73.92,83.91
1,54.31,45.06
1,77.12,66.04
0,77.99,86.92
0,72.55,82.46
0,75.70,83.93
1,67.67,54.92
0,77.49,86.53
0,78.87,88.91
0,79.41,89.37
1,67.94,43.60
1,71.84,53.79
0,75.53,84.80
0,67.48,75.12
0,73.07,83.49
1,70.26,61.57
1,86.22,71.86
0,69.33,77.49
1,92.91,81.04
0,76.79,85.93
1,98.18,86.96
0,74.87,84.50
0,73.00,83.07
0,83.36,93.66
0,77.50,87.00
1,85.97,74.04
1,89.97,68.59
0,76.11,86.49
0,76.25,85.68
0,76.44,86.42
0,78.13,88.67
1,84.68,71.96
1,99.09,83.31
1,73.71,62.88
0,78.97,88.23
0,86.76,96.94
0,80.07,89.04
1,83.18,70.95
0,72.32,81.46
1,49.66,37.85
0,78.29,88.61
0,76.52,85.98
1,64.25,47.91
0,77.02,88.37
0,74.26,83.27
1,71.06,62.89
1,103.11,94.44
1,78.74,68.53
1,80.95,68.85
0,74.27,83.33
1,67.34,51.97
1,54.37,36.59
1,122.68,109.10
1,73.04,62.28
0,76.22,86.12
1,98.34,86.71
1,77.27,50.45
0,74.24,84.25
0,72.32,80.31
0,76.56,85.54
1,112.88,94.31
1,76.11,66.00
0,74.90,83.85
0,70.73,78.47
1,74.71,64.44
1,61.50,52.72
0,77.28,87.13
0,76.59,85.99
1,65.57,47.17
1,62.12,52.87
0,74.60,85.26
1,88.46,77.00
1,86.12,72.20
0,78.26,87.13
1,74.17,59.96
1,59.86,50.81
1,83.70,73.71
0,75.92,84.38
0,72.71,81.43
0,73.03,82.81
1,84.18,69.81
1,82.32,69.09
0,78.42,88.59
1,54.25,32.89
1,88.20,73.91
1,123.05,108.90
1,106.22,93.07
0,78.96,89.33
1,76.96,58.95
0,78.28,89.04
1,73.84,63.18
1,87.65,74.13
0,80.86,90.84
0,79.47,88.73
0,75.94,86.47
0,70.85,80.36
1,85.06,75.44
0,74.08,83.30
1,63.28,46.16
1,74.78,58.76
0,70.05,77.53
0,74.49,83.06
0,74.74,85.47
