Label,WordQty,W2,W3,W4,W5,W6,W7,P4,P5,P6,P7
0,1263,137.64,94.04,103.64,107.03,107.73,107.85,8.24,8.38,8.58,8.75
1,1506,124.55,84.31,79.65,78.51,78.62,78.76,8.30,8.23,8.32,8.53
0,541,141.42,101.33,106.32,110.75,111.23,111.62,8.49,8.58,8.94,9.30
1,626,132.95,85.13,76.03,76.03,75.93,75.48,7.47,7.51,7.34,7.44
0,399,199.74,145.54,161.50,159.55,159.65,159.71,7.90,8.01,8.27,8.47
0,891,164.06,118.36,127.94,131.36,132.40,132.41,8.60,8.86,9.12,9.35
1,288,274.70,217.53,205.37,212.68,212.12,212.34,6.14,6.08,6.10,6.13
1,612,176.95,131.34,119.64,121.96,122.02,122.27,9.52,9.38,9.36,9.36
1,505,179.74,128.69,112.84,114.38,114.24,114.30,7.60,7.48,7.47,7.71
0,315,136.65,99.21,122.65,124.80,125.96,125.83,8.45,8.65,8.74,8.81
0,305,147.27,94.93,99.72,105.11,105.96,105.74,7.76,7.80,7.97,8.06
1,305,214.32,168.59,148.70,158.86,160.58,160.61,7.25,7.30,7.36,7.46
0,301,121.25,81.40,84.24,90.08,89.52,89.98,9.92,10.15,10.42,10.84
1,465,204.38,140.67,128.45,131.19,131.67,131.83,8.98,9.06,9.10,9.24
1,476,188.83,134.79,118.62,121.41,120.26,120.58,8.19,8.23,8.22,8.39
0,498,162.09,120.34,126.50,135.57,135.53,135.66,7.57,7.65,7.88,8.05
0,368,211.17,146.57,169.29,169.77,170.16,170.18,9.13,9.35,9.57,9.65
0,674,160.93,112.04,120.99,127.91,128.68,128.91,8.01,8.24,8.32,8.49
0,413,120.40,82.79,92.65,97.53,98.28,98.66,8.09,8.31,8.44,8.58
1,528,207.53,144.05,122.16,127.67,127.63,127.67,7.37,7.38,7.46,7.55
0,353,151.65,92.20,98.58,103.05,103.75,103.91,6.65,6.64,6.87,7.09
1,466,204.93,169.53,154.95,154.06,153.61,153.52,7.62,7.68,7.77,7.96
1,362,211.94,161.59,148.85,149.35,149.56,149.65,8.20,8.09,8.17,8.36
1,358,226.30,161.85,144.48,151.84,150.50,150.80,7.82,7.88,7.93,7.93
0,567,141.89,89.95,93.96,98.22,99.50,99.83,7.44,7.61,7.79,8.03
1,381,224.72,191.06,177.89,181.49,181.57,181.93,8.14,8.14,8.13,8.25
1,1533,225.39,174.75,166.82,168.86,168.83,169.23,8.56,8.64,8.79,8.99
1,394,187.49,168.60,153.24,155.13,155.60,155.53,7.50,7.46,7.62,7.64
0,1400,153.47,105.52,113.91,118.57,118.94,119.14,8.31,8.44,8.62,8.73
0,320,193.48,152.21,162.38,171.47,171.62,171.63,9.02,8.99,9.05,9.36
0,479,152.93,99.63,112.17,116.37,117.29,117.38,7.95,7.97,8.22,8.39
0,442,173.12,124.31,134.76,137.55,138.00,138.27,8.92,9.05,9.14,9.27
1,478,193.53,136.62,125.97,128.09,128.49,128.19,8.07,8.07,8.15,8.59
1,445,210.95,163.72,158.70,158.54,158.25,158.01,7.78,7.77,7.81,7.81
0,306,146.64,113.21,119.50,124.69,124.69,124.78,8.37,8.53,8.70,8.99
1,380,190.37,148.50,129.61,141.25,141.19,141.12,7.38,7.34,7.40,7.44
1,1012,159.00,117.15,109.60,109.74,109.92,109.91,8.28,8.24,8.34,8.61
1,570,150.50,106.30,100.14,100.88,101.13,101.76,7.18,7.15,7.27,7.34
1,413,238.12,164.30,143.23,145.29,145.24,145.37,7.75,7.86,7.97,7.98
1,2661,142.57,105.76,96.26,97.90,98.26,98.43,8.68,8.60,8.74,8.88
1,407,104.49,65.28,49.96,51.43,50.51,50.15,7.70,7.70,7.47,7.53
0,972,135.21,91.98,99.37,103.96,104.67,104.80,8.26,8.46,8.68,8.86
0,551,148.97,109.37,116.96,120.37,120.75,120.79,7.40,7.55,7.64,7.80
1,452,140.88,98.56,86.82,90.27,89.91,90.23,7.50,7.39,7.33,7.51
1,495,168.60,130.58,120.68,124.25,125.32,125.59,7.29,7.33,7.39,7.52
0,466,196.96,138.38,147.77,156.39,156.18,156.31,8.41,8.60,8.99,9.25
1,404,238.73,194.24,178.72,185.24,185.38,185.45,7.98,8.09,8.07,8.15
0,2685,150.17,105.57,111.90,115.62,116.05,116.24,7.88,7.98,8.24,8.38
1,374,258.23,214.19,206.39,212.02,211.53,211.61,6.43,6.52,6.60,6.71
0,365,125.47,86.18,100.24,103.17,103.55,103.90,7.38,7.58,7.84,7.95
1,525,157.34,105.29,99.85,99.56,99.59,99.69,7.16,7.04,7.13,7.29
1,1122,216.84,167.18,151.62,157.16,157.23,157.29,7.86,7.86,7.87,8.04
0,363,123.71,88.49,102.27,104.46,105.63,106.86,8.50,8.58,8.74,8.90
1,482,169.59,120.11,113.64,116.21,117.52,117.03,7.81,7.95,7.89,8.07
1,1085,182.14,137.12,120.72,123.89,123.49,123.23,8.02,7.89,7.91,8.07
0,535,101.19,70.47,80.97,83.51,84.28,84.31,8.25,8.39,8.37,8.68
1,906,148.21,110.48,103.46,105.51,105.62,105.49,8.40,8.43,8.52,8.74
1,1544,123.11,87.72,77.88,84.26,84.31,84.30,7.97,7.93,8.05,8.16
0,384,139.19,96.95,99.77,107.34,108.43,109.02,8.50,8.75,8.97,9.23
0,209,121.07,85.24,85.91,98.61,98.82,98.50,8.54,8.50,8.71,8.76
1,335,169.32,106.18,94.10,94.44,95.58,96.07,7.43,7.28,7.51,7.55
0,492,174.33,121.20,130.63,134.20,134.30,133.03,7.95,8.15,8.29,8.56
1,1294,219.79,151.52,130.64,128.80,128.21,128.19,7.48,7.41,7.29,7.31
1,991,195.93,139.32,129.00,129.64,129.33,129.47,8.27,8.30,8.37,8.56
1,4217,161.41,113.08,98.71,101.10,100.11,100.05,7.90,7.88,7.93,8.07
0,630,135.06,84.52,95.40,97.53,98.11,98.53,8.84,8.98,9.17,9.48
1,478,124.95,90.49,80.72,82.35,82.02,81.89,7.54,7.60,7.87,8.01
1,455,263.36,192.71,163.91,170.85,170.49,170.27,8.04,7.89,8.04,8.23
1,1121,146.27,121.61,116.44,117.47,117.92,117.67,6.99,6.94,6.98,7.08
1,384,289.41,231.38,201.90,214.54,215.57,215.52,8.83,8.68,8.67,8.64
1,961,134.89,102.05,91.10,95.47,94.74,94.99,8.01,8.00,8.07,8.27
0,551,151.41,107.97,113.86,116.98,117.16,117.35,9.12,9.34,9.57,9.87
0,1309,160.98,113.03,122.70,126.63,127.15,127.48,8.93,9.04,9.20,9.50
1,514,153.06,109.21,104.68,102.73,102.16,102.23,9.18,9.18,9.26,9.47
0,824,183.46,136.58,150.75,153.36,153.95,154.01,8.68,8.75,9.11,9.28
1,1195,170.50,114.54,93.38,99.25,97.61,97.30,8.03,7.97,8.05,8.21
0,1383,124.42,84.89,95.07,96.14,96.89,96.97,8.55,8.72,8.95,9.22
0,289,136.05,100.24,111.91,117.20,117.97,117.94,9.25,9.47,9.55,9.80
0,1119,143.10,101.37,109.46,114.32,115.17,115.40,8.49,8.63,8.80,9.13
0,1074,193.35,136.79,145.32,154.58,155.42,155.54,8.57,8.68,8.73,8.97
1,371,160.22,136.85,119.51,127.63,126.74,126.85,7.38,7.40,7.52,7.63
0,4051,145.48,102.02,112.87,115.77,116.31,116.25,8.23,8.40,8.57,8.79
1,472,161.07,112.90,99.92,103.89,103.73,103.42,7.30,7.30,7.44,7.60
0,433,136.47,86.94,106.11,105.86,106.10,106.39,8.60,8.69,8.86,9.18
0,400,185.51,139.95,147.85,157.96,158.52,158.99,8.39,8.44,8.33,8.54
0,1220,155.81,109.72,117.22,122.54,122.88,122.36,7.93,8.09,8.22,8.37
1,290,161.52,124.09,113.57,110.63,110.96,111.17,8.42,8.45,8.45,9.01
1,633,244.12,201.32,175.98,190.17,191.27,191.29,8.06,8.16,8.29,8.51
1,1500,128.73,88.03,80.74,80.16,80.29,80.26,7.89,7.77,7.78,7.94
1,392,204.39,143.73,130.20,134.30,133.64,133.56,8.58,8.56,8.65,8.77
1,521,180.54,125.28,110.54,112.31,112.29,112.64,9.18,9.15,9.13,9.20
0,343,163.19,117.46,128.76,132.04,133.24,135.52,9.08,9.23,9.73,10.23
0,1030,141.83,103.11,112.80,114.45,115.20,115.25,8.24,8.40,8.63,8.70
0,687,174.86,125.80,130.71,133.57,134.09,134.46,7.07,7.01,7.17,7.25
0,1291,126.44,88.09,99.92,100.85,100.90,101.45,8.61,8.66,8.84,9.04
0,501,151.34,99.69,111.70,114.28,115.70,115.75,8.21,8.38,8.58,8.74
0,398,152.43,102.89,109.44,118.20,119.02,119.20,8.35,8.44,8.78,8.99
1,554,137.37,87.38,75.75,77.28,76.54,76.57,8.34,8.41,8.48,8.63
0,367,161.79,104.59,115.20,118.36,118.47,118.49,8.36,8.38,8.56,8.60
1,457,188.19,164.22,153.91,154.60,155.52,156.13,8.64,8.60,8.75,8.92
0,476,142.53,105.17,109.44,114.91,115.50,116.21,7.69,8.00,8.10,8.35
1,508,184.44,133.91,120.25,124.07,124.50,124.70,6.85,6.82,6.89,7.08
1,416,232.11,159.86,139.99,150.08,150.20,150.14,7.90,7.84,7.96,8.14
1,499,193.01,167.81,151.80,161.89,162.00,162.15,7.88,7.87,8.04,8.33
