Label,WordQty,W2,W4,W5,P4,P5,P6
0,1263,137.64,110.30,117.33,8.25,8.58,9.23
1,1506,124.55,79.77,82.64,8.34,8.42,8.84
0,541,141.42,116.71,123.90,8.54,8.93,9.62
1,626,132.95,63.49,59.96,7.48,7.72,7.97
0,399,199.74,167.46,176.90,7.98,8.14,8.93
0,891,164.06,132.08,141.29,8.74,9.16,9.75
1,288,274.70,205.66,220.00,6.11,5.99,6.22
1,612,176.95,39.37,24.99,9.44,9.30,9.07
1,505,179.74,115.75,120.83,7.59,7.67,8.01
0,315,136.65,127.12,139.70,8.51,8.83,8.96
0,305,147.27,104.48,113.10,7.80,8.29,8.55
1,305,214.32,143.13,149.71,7.37,7.66,8.07
0,301,121.25,88.04,96.01,9.94,10.65,11.11
1,465,204.38,123.85,124.53,9.01,9.31,10.22
1,476,188.83,117.88,120.55,8.29,8.50,8.81
0,498,162.09,130.16,138.08,7.59,7.82,8.39
0,368,211.17,180.84,191.28,9.21,9.67,10.42
0,674,160.93,133.82,143.22,8.09,8.51,9.02
0,413,120.40,106.61,113.32,8.05,8.28,8.99
1,528,207.53,110.10,110.73,7.38,7.46,7.67
0,353,151.65,106.13,115.57,6.61,6.67,7.09
1,466,204.93,156.58,156.01,7.65,7.84,8.23
1,362,211.94,148.75,148.90,8.19,8.40,8.75
1,358,226.30,151.33,157.60,8.02,8.19,8.41
0,567,141.89,101.51,111.57,7.57,7.96,8.33
1,381,224.72,160.97,161.12,8.16,8.21,8.64
1,1533,225.39,159.06,163.75,8.56,8.92,9.52
1,394,187.49,152.64,160.38,7.49,7.74,8.10
0,1400,153.47,125.25,134.62,8.34,8.58,9.12
0,320,193.48,176.17,180.84,9.11,9.40,10.03
0,479,152.93,122.96,130.96,7.96,8.17,8.80
0,442,173.12,149.21,159.16,8.99,9.33,10.01
1,478,193.53,114.57,114.18,8.00,8.21,8.78
1,445,210.95,157.83,166.02,7.84,7.95,8.28
0,306,146.64,129.02,137.58,8.39,8.94,9.70
1,380,190.37,107.25,111.24,7.42,7.57,7.72
